replicas,MDStep Avg,Total Runtime,Task Resubmissons,Num Replica Exchanges,Acceptance Rate
12,37.473648643493654,3753.3695385456085,0,94,94.0
24,40.506690847873685,4057.407203435898,0,99,99.0
36,40.414604635238646,4053.3086488246918,0,95,95.0
48,41.3962007188797,4147.964223861694,0,100,100.0
60,41.49933047056198,4159.802994012833,0,100,100.0
72,41.80388643264771,4191.064837932587,0,100,100.0
84,42.580149886608126,4270.34823846817,0,100,100.0
96,42.34571817874908,4246.931293010712,0,100,100.0
108,42.36590515136719,4253.037243843079,0,100,100.0
120,42.80556428909302,4293.920428514481,0,100,100.0
132,42.64297714948654,4284.659247875214,0,99,99.0
144,42.78905838489533,4294.47918844223,0,100,100.0
156,43.19234063386917,4339.408859491348,0,100,100.0
168,42.45377617835999,4266.602025270462,0,99,99.0
180,42.289157688617706,4247.993834495544,0,100,100.0
192,42.25720653533936,4247.995908737183,0,100,100.0
12,6.530909776687622,39.478875160217285,0,5,100.0
12,7.600984811782837,49.03524708747864,0,5,100.0
5,14.170668411254884,79.72569704055786,0,4,80.0
5,6.715158414840698,38.18641114234924,0,5,100.0
5,6.108780813217163,34.803751707077026,0,5,100.0
5,6.06616530418396,39.522972106933594,0,3,60.0
5,7.366714906692505,45.053996086120605,0,5,100.0
5,6.825758981704712,38.62083292007446,0,5,100.0
5,6.698764991760254,37.728758096694946,0,5,100.0
5,6.446314334869385,39.33831286430359,0,5,100.0
5,7.5782551765441895,44.29853701591492,0,5,100.0
